KIC 11337883
KIC 11126673
KIC 11342694
KIC 11447802
KIC 11495120
KIC 11649294
KIC 11598312
KIC 11337714
KIC 11904929
KIC 11615498
KIC 11618522
KIC 11462972
KIC 11197101
KIC 11358669
KIC 12122151
KIC 12120327
KIC 11871882
KIC 12115227
KIC 12117099
KIC 10728179
KIC 10793890
KIC 10604255
KIC 10802837
KIC 11087371
KIC 11033302
KIC 11298776
KIC 11134982
KIC 11241927
KIC 11133969
KIC 10792949
KIC 9517542
KIC 9764708
KIC 9705687
KIC 9145955
KIC 9335570
KIC 10268744
KIC 10659842
KIC 10592802
KIC 10722175
KIC 10461323
KIC 8673221
KIC 8870432
KIC 8676927
KIC 8872709
KIC 9075225
KIC 9327993
KIC 9574730
KIC 9328682
KIC 10090853
KIC 10093930
KIC 10095427
KIC 10426854
KIC 9479404
KIC 9783226
KIC 9602917
KIC 9846355
KIC 9667930
KIC 9970830
KIC 10554179
KIC 10879372
KIC 10226276
KIC 10489108
KIC 10550429
KIC 11046496
KIC 10992711
KIC 10991398
KIC 11043831
KIC 10989210
KIC 10745775
KIC 9406596
KIC 9408590
KIC 9226335
KIC 9228469
KIC 9535399
KIC 9472481
KIC 9532518
KIC 9836930
KIC 9713083
KIC 9772366
KIC 9406415
KIC 9711269
KIC 9957219
KIC 6271732
KIC 6273063
KIC 7188504
KIC 7428418
KIC 8085964
KIC 6103934
KIC 5940060
KIC 6587245
KIC 6756648
KIC 3526061
KIC 3529480
KIC 3429738
KIC 3634720
KIC 2831788
KIC 2693261
KIC 2695267
KIC 3631821
KIC 5172229
KIC 4659706
