KIC,Bmag,Vmag,e_lng,e_lat,B-V,V-I,Imag
KIC 11337883,10.83,9.78,300.5510351,70.9952746,1.05,1.02903290892,8.75096709108
KIC 11126673,11.12,9.99,302.4962035,70.4439208,1.13,1.09515235887,8.89484764113
KIC 11342694,11.4,10.14,306.3483267,70.3222937,1.26,1.22382631254,8.91617368746
KIC 11447802,11.36,10.4,306.5306191,70.5567759,0.96,0.962007646295,9.4379923537
KIC 11495120,10.71,9.72,301.0531648,71.2589455,0.99,0.983761279802,8.7362387202
KIC 11649294,11.5,10.27,300.1483703,71.7255933,1.23,1.19133781778,9.07866218222
KIC 11598312,11.28,10.09,300.4826568,71.6038003,1.19,1.15075920124,8.93924079876
KIC 11337714,11.24,10.23,300.4190871,71.1039584,1.01,0.998544973982,9.23145502602
KIC 11904929,11.11,10.11,304.693651,71.7450987,1.0,0.991120414,9.118879586
KIC 11615498,11.28,10.31,318.1759045,69.097765,0.97,0.969211806598,9.3407881934
KIC 11618522,11.32,10.22,320.214529,68.6943518,1.1,1.06941272047,9.15058727953
KIC 11462972,11.18,10.18,319.7890123,68.3833935,1.0,0.991120414,9.188879586
KIC 11197101,11.35,10.39,318.4041467,68.1679666,0.96,0.962007646295,9.4279923537
KIC 11358669,11.06,9.96,319.9074925,68.2166853,1.1,1.06941272047,8.89058727953
KIC 12122151,11.03,10.0,323.8631133,69.0356126,1.03,1.01361757936,8.98638242064
KIC 12120327,11.4,10.36,322.6832676,69.2891677,1.04,1.02127908233,9.33872091767
KIC 11871882,11.12,10.14,320.9794451,69.0517375,0.98,0.97646070987,9.16353929013
KIC 12115227,11.19,10.17,319.0097996,70.0223898,1.02,1.00604177552,9.16395822448
KIC 12117099,11.33,10.42,320.4649277,69.7696434,0.91,0.926415158434,9.49358484157
KIC 10728179,10.93,9.84,310.3285157,68.6602626,1.09,1.06110097375,8.77889902625
KIC 10793890,11.03,10.17,310.0965154,68.778739,0.86,0.890906496129,9.27909350387
KIC 10604255,11.24,10.08,314.9227952,67.661693,1.16,1.12221908455,8.95778091545
