,KIC,numax_apo,dnu_apo,Teff,[M/H]2,kic_kepmag
1360,8154383,65.8,6.35,4613.0,0.23,10.876
1361,8086192,74.87,7.04,4757.0,0.06,11.534
1362,7741179,27.04,3.94,4946.0,-0.72,11.472000000000001
1363,7948086,42.37,4.45,4920.0,0.04,11.293
1364,8017159,3.08,0.64,4649.0,-2.09,10.687999999999999
1366,7948193,115.5,9.11,5020.0,0.0,11.093
1368,8016118,83.7,7.46,5120.0,-0.03,11.222000000000001
1371,7808227,32.25,4.08,4798.0,-0.23,11.524000000000001
1372,7807614,31.7,3.85,4556.0,0.23,11.555
1374,5339823,41.05,4.27,4887.0,-0.24,11.353
1376,5426041,50.8,5.01,4393.0,0.17,11.511
1377,5597965,54.92,5.52,4677.0,-0.14,10.962
1380,5685000,29.38,3.95,4774.0,-0.38,11.292
1385,5512777,30.93,4.06,4559.0,-0.25,11.23
1387,5770923,80.83,6.92,4843.0,0.04,10.73
1391,5598789,57.0,5.43,4939.0,0.07,10.502
1392,5599763,32.04,3.77,4450.0,0.34,11.72
1395,5514079,87.72,7.79,4453.0,0.11,11.613
1398,5857618,70.56,6.31,4554.0,0.31,11.815
1401,5515314,133.42,10.74,4628.0,0.45,10.876
1402,5772710,33.61,3.78,4448.0,0.41,11.300999999999998
1403,5514974,32.85,4.05,4563.0,0.02,11.355
1410,5602545,36.61,4.17,4685.0,-0.23,11.418
1413,5859492,35.68,4.03,4559.0,0.33,10.267000000000001
1414,5860093,50.28,5.52,4679.0,-0.54,11.197000000000001
1417,5517442,36.31,4.03,4800.0,-0.12,11.743
1418,5689606,44.86,4.5,4610.0,0.03,11.562999999999999
1419,5689343,96.84,8.09,5023.0,0.15,11.286
1423,5774568,110.89,9.49,4678.0,0.31,11.545
1427,4814198,49.7,4.82,4640.0,0.18,10.927
1432,4902641,98.09,7.91,4867.0,0.07,10.761
1433,4902701,35.51,4.15,4467.0,-0.07,11.614
1435,4633907,30.37,3.81,4596.0,-0.02,10.838
1439,4991033,48.37,5.2,4464.0,-0.05,11.759
1443,4991732,103.7,8.53,4646.0,0.18,11.547
1445,5167473,31.55,4.03,4729.0,-0.38,11.558
1448,5257167,28.91,4.05,4768.0,-0.85,11.106
1450,5168713,41.94,4.73,4563.0,-0.41,11.758
1451,5168382,214.94,17.05,4907.0,-0.37,11.433
1460,6188215,113.73,8.52,4993.0,0.03,10.517000000000001
1464,5858947,174.41,14.41,5051.0,-1.04,11.737
1467,6425301,60.73,6.14,4488.0,-0.08,11.523
1470,5858034,38.33,4.39,4648.0,-0.21,11.738
1472,6346443,36.03,4.22,4688.0,-0.08,10.699000000000002
1474,6185790,42.05,4.65,4458.0,-0.15,11.8
1475,6104786,167.69,13.72,4762.0,-0.44,11.55
1477,6424157,98.49,8.81,4728.0,0.0,11.54
1478,6345474,33.13,4.13,4450.0,0.06,11.079
1479,6423690,33.64,4.03,4855.0,-0.65,11.045
1486,6264398,31.3,3.98,4830.0,-0.14,11.725999999999999
1490,6343222,78.32,7.36,4564.0,0.27,11.698
1497,6263410,108.44,8.29,4911.0,0.05,11.152000000000001
1498,6262867,30.7,3.74,4410.0,-0.4,11.395
1499,6262706,59.45,5.66,4741.0,-0.17,11.255999999999998
