f0,SNR_Kepler,Pdet_Kepler,SNR_TESS365,Pdet_TESS365,SNR_TESS27,Pdet_TESS27
74.9305396469,9.42986922702,0.0,2.18001287163,1.0,0.244348130584,0.0
82.7855267539,9.74314970341,0.0,3.8490820916,1.0,0.5777725742,0.0
90.6471315375,19.067640165,1.0,5.46869043661,1.0,0.166009587544,0.0
98.8499578727,22.1907999928,1.0,3.57527826867,1.0,0.980915087655,0.0
107.032279271,33.2403017288,1.0,3.763483596,1.0,0.438773433509,0.0
115.062748995,29.6945320622,1.0,4.16807529694,1.0,0.202264269503,0.0
123.491215178,10.6460244789,0.0,4.35045791806,1.0,1.31720363275,0.0
131.390395327,11.6255866223,0.0,5.12218588162,1.0,1.02684265358,0.0
