KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag,Bmag,Vmag,B-V,V-I,Imag,Pdet1,Pdet2,Pdet3
11600024.0,35.72,4.19453192189,4825.0,-0.21,13.1864648109,10.44,9.35,1.09,1.06110097375,8.28889902625,0.0,1.0,1.0
10812837.0,57.66,5.3864081185,5003.0,-0.13,15.6889297773,10.45,9.43,1.02,1.00604177552,8.42395822448,0.0,0.0,0.0
10812837.0,57.66,5.3864081185,5003.0,-0.13,13.4241196022,10.45,9.43,1.02,1.00604177552,8.42395822448,1.0,0.0,0.0
10812837.0,57.66,5.3864081185,5003.0,-0.13,16.7615118457,10.45,9.43,1.02,1.00604177552,8.42395822448,0.0,0.0,0.0
3833399.0,37.8,4.1167766127,4781.0,-0.02,16.1000875981,10.71,9.56,1.15,1.11304014113,8.44695985887,0.0,0.0,0.0
3833399.0,37.8,4.1167766127,4781.0,-0.02,15.2985435302,10.71,9.56,1.15,1.11304014113,8.44695985887,0.0,1.0,0.0
3833399.0,37.8,4.1167766127,4781.0,-0.02,16.1168905122,10.71,9.56,1.15,1.11304014113,8.44695985887,0.0,0.0,0.0
8543200.0,40.75,4.41716647276,4968.0,-0.15,12.1823458354,10.6,9.65,0.95,0.954841289507,8.69515871049,1.0,1.0,1.0
8543200.0,40.75,4.41716647276,4968.0,-0.15,15.5553044019,10.6,9.65,0.95,0.954841289507,8.69515871049,0.0,0.0,0.0
8543200.0,40.75,4.41716647276,4968.0,-0.15,13.1853418819,10.6,9.65,0.95,0.954841289507,8.69515871049,1.0,1.0,1.0
9575645.0,46.38,4.71181432614,4948.0,0.06,12.5389212242,10.76,9.78,0.98,0.97646070987,8.80353929013,1.0,1.0,1.0
9575645.0,46.38,4.71181432614,4948.0,0.06,16.662648234,10.76,9.78,0.98,0.97646070987,8.80353929013,0.0,0.0,0.0
9575645.0,46.38,4.71181432614,4948.0,0.06,16.434423812,10.76,9.78,0.98,0.97646070987,8.80353929013,0.0,0.0,0.0
3427850.0,26.76,3.43547223944,4804.0,-0.3,12.5140178444,10.55,9.45,1.1,1.06941272047,8.38058727953,1.0,1.0,1.0
3427850.0,26.76,3.43547223944,4804.0,-0.3,12.4931001304,10.55,9.45,1.1,1.06941272047,8.38058727953,1.0,1.0,1.0
3427850.0,26.76,3.43547223944,4804.0,-0.3,16.5158930862,10.55,9.45,1.1,1.06941272047,8.38058727953,0.0,0.0,0.0
11029423.0,74.38,7.2808655148,4682.0,-0.05,11.7079128374,10.89,9.77,1.12,1.0864325509,8.6835674491,1.0,1.0,1.0
11029423.0,74.38,7.2808655148,4682.0,-0.05,11.7480302609,10.89,9.77,1.12,1.0864325509,8.6835674491,1.0,1.0,1.0
11029423.0,74.38,7.2808655148,4682.0,-0.05,13.7720953066,10.89,9.77,1.12,1.0864325509,8.6835674491,1.0,1.0,1.0
7944038.0,19.86,2.30276474375,4512.0,-0.01,13.7700077375,10.86,9.65,1.21,1.17067197412,8.47932802588,0.0,1.0,1.0
7944038.0,19.86,2.30276474375,4512.0,-0.01,12.5367554671,10.86,9.65,1.21,1.17067197412,8.47932802588,1.0,1.0,1.0
7944038.0,19.86,2.30276474375,4512.0,-0.01,15.5292478325,10.86,9.65,1.21,1.17067197412,8.47932802588,0.0,1.0,1.0
11550492.0,93.01,8.65014679899,4685.0,-0.06,12.1383418325,10.68,9.54,1.14,1.10401970585,8.43598029415,1.0,1.0,1.0
11550492.0,93.01,8.65014679899,4685.0,-0.06,14.5294786629,10.68,9.54,1.14,1.10401970585,8.43598029415,1.0,1.0,0.0
11550492.0,93.01,8.65014679899,4685.0,-0.06,14.3320669166,10.68,9.54,1.14,1.10401970585,8.43598029415,1.0,1.0,0.0
10146348.0,70.03,6.03004858183,4760.0,0.11,16.5865400949,10.74,9.66,1.08,1.05291332497,8.60708667503,0.0,0.0,0.0
10146348.0,70.03,6.03004858183,4760.0,0.11,16.8001094748,10.74,9.66,1.08,1.05291332497,8.60708667503,0.0,0.0,0.0
10146348.0,70.03,6.03004858183,4760.0,0.11,15.2115878181,10.74,9.66,1.08,1.05291332497,8.60708667503,0.0,0.0,0.0
9518802.0,92.0,7.38821609869,5187.0,-0.1,15.5458085066,10.36,9.47,0.89,0.912249154785,8.55775084522,0.0,0.0,0.0
9518802.0,92.0,7.38821609869,5187.0,-0.1,15.6226380981,10.36,9.47,0.89,0.912249154785,8.55775084522,0.0,0.0,0.0
9518802.0,92.0,7.38821609869,5187.0,-0.1,14.0226167159,10.36,9.47,0.89,0.912249154785,8.55775084522,0.0,0.0,0.0
