KIC,Kp,dnu,numax
10587122.0,4610.0,37.36,4.33
7014894.0,4971.0,73.9,6.4
11665692.0,4891.0,67.79,5.95
10522084.0,4787.0,45.76,4.72
9517698.0,4855.0,42.22,4.55
11496569.0,4849.0,66.35,6.16
11969378.0,4849.0,38.1,4.33
11234897.0,4972.0,61.32,5.15
9634962.0,4704.0,34.65,3.98
11819363.0,4915.0,49.97,5.31
10359999.0,4886.0,45.27,4.82
11615617.0,5065.0,103.54,8.12
11600024.0,4825.0,35.72,4.25
10812837.0,5003.0,57.66,5.41
3833399.0,4781.0,37.8,4.13
8543200.0,4968.0,40.75,4.44
9575645.0,4948.0,46.38,4.72
3427850.0,4804.0,26.76,3.44
11029423.0,4682.0,74.38,7.23
7944038.0,4512.0,19.86,2.27
11550492.0,4685.0,93.01,8.66
10146348.0,4760.0,70.03,5.94
9518802.0,5187.0,92.0,7.18
