SNR1,SNR2,SNR3,SNR4
19.2843976886,31.0346460761,44.360593574,41.6347885216
11.1099741558,30.7399495719,44.8730569018,43.9653651301
15.2227076872,23.1858226592,87.8932793874,74.7892375581
22.3802418833,28.231135552,95.0000829911,44.9380958122
23.9603125442,12.5220792189,56.3440692146,39.8492318289
7.38715952053,29.72009866,84.2533618912,71.518136175
11.8538857035,24.5955856537,55.4450563993,22.8989769918
22.0751086548,29.0684236415,34.4851779316,12.424750025
11.7064323306,28.2261229679,74.9067398285,44.7953715163
18.4739129982,45.4890889945,177.331260362,92.0281804911
11.72909442,43.6065780292,22.5485831945,34.3052405651
25.9246276371,31.4092597502,49.9487732593,47.8107307249
14.3291419148,32.4055374132,36.0820594815,24.8370211737
9.22255039389,12.562975928,76.4460733927,27.8800441655
21.0726309741,29.631687458,41.9528666676,22.9783700034
29.3870137238,26.6427627099,46.0699110159,51.5414497481
23.4195086519,25.6953792851,39.8027747154,34.3647323919
16.5638510938,22.7611235622,33.0406422019,22.6752580593
24.8646577417,65.9869632606,310.406899849,113.629425054
9.73893216647,19.7779330732,68.7223444288,45.7646023497
48.8018970239,141.233267122,216.079981592,63.0427210174
24.0228837241,14.972260784,29.8404543731,24.1127069479
17.1356537156,45.0658388287,29.3448783351,22.4204732466
