KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag,Bmag,Vmag,B-V,V-I,Imag,Pdet1,Pdet2,Pdet3
9535399.0,58.26,5.69389495994,4662.0,0.35,12.8012828151,11.16,9.93,1.23,1.19133781778,8.73866218222,0.957491973119,0.973756942252,0.980330776209
9535399.0,58.26,5.69389495994,4662.0,0.35,11.3353858254,11.16,9.93,1.23,1.19133781778,8.73866218222,0.96399452223,0.978538730814,0.984653816951
6273063.0,31.8,3.6306620825,4554.0,0.5,16.5944913711,11.36,10.02,1.34,1.31997985279,8.70002014721,0.900238308027,0.905296472322,0.79315443861
6273063.0,31.8,3.6306620825,4554.0,0.5,15.3932425237,11.36,10.02,1.34,1.31997985279,8.70002014721,0.92409227601,0.931364905661,0.849333630475
10879372.0,35.11,3.76703226191,4556.0,0.47,15.9405933586,11.67,10.58,1.09,1.06110097375,9.51889902625,0.919300812578,0.928737035435,0.907781087508
10879372.0,35.11,3.76703226191,4556.0,0.47,13.5845185471,11.67,10.58,1.09,1.06110097375,9.51889902625,0.94198918429,0.95252258924,0.943007196172
8872709.0,38.63,4.29321046502,4875.0,-0.02,11.528046449,10.96,10.02,0.94,0.947705791633,9.07229420837,0.93795157546,0.951436693203,0.941857659171
8872709.0,38.63,4.29321046502,4875.0,-0.02,15.4891934299,10.96,10.02,0.94,0.947705791633,9.07229420837,0.891090511186,0.905235294999,0.87345363252
11337883.0,149.21,11.670848584,4937.0,-0.03,15.9232568462,10.83,9.78,1.05,1.02903290892,8.75096709108,0.730592313377,0.670514489773,0.516736111346
11337883.0,149.21,11.670848584,4937.0,-0.03,16.8420322654,10.83,9.78,1.05,1.02903290892,8.75096709108,0.634821029157,0.577864371779,0.458313467811
11126673.0,55.79,5.63897330557,4660.0,-0.11,14.5075774693,11.12,9.99,1.13,1.09515235887,8.89484764113,0.959178620447,0.970864223657,0.871541357587
11126673.0,55.79,5.63897330557,4660.0,-0.11,12.5868612033,11.12,9.99,1.13,1.09515235887,8.89484764113,0.974302220251,0.98273387721,0.923330494679
11618522.0,58.12,5.37456543913,4963.0,0.24,13.5014621559,11.32,10.22,1.1,1.06941272047,9.15058727953,0.938893703983,0.944459069163,0.879842399012
11618522.0,58.12,5.37456543913,4963.0,0.24,15.7127724146,11.32,10.22,1.1,1.06941272047,9.15058727953,0.871566425838,0.875579699363,0.752327852249
9327993.0,34.68,3.93824332978,4610.0,0.28,13.8829026361,11.3,10.01,1.29,1.25820276066,8.75179723934,0.923621090156,0.936689610796,0.935668409332
9327993.0,34.68,3.93824332978,4610.0,0.28,12.7504393158,11.3,10.01,1.29,1.25820276066,8.75179723934,0.929148315335,0.942661147583,0.943441419228
10802837.0,57.33,5.48358047517,4914.0,0.23,16.8492651414,11.1,10.04,1.06,1.03688560322,9.00311439678,0.671786598946,0.800605767402,0.745676681
10802837.0,57.33,5.48358047517,4914.0,0.23,12.3789577884,11.1,10.04,1.06,1.03688560322,9.00311439678,0.900716342127,0.955888188567,0.943736241448
9846355.0,32.0,3.87323998328,4594.0,0.27,16.2560042693,10.99,9.85,1.14,1.10401970585,8.74598029415,0.962455747976,0.965152760165,0.947439295427
9846355.0,32.0,3.87323998328,4594.0,0.27,14.991808058,10.99,9.85,1.14,1.10401970585,8.74598029415,0.963441615368,0.96626393757,0.94960909723
10090853.0,37.18,4.08371520789,4665.0,0.31,11.5682666643,11.1,9.81,1.29,1.25820276066,8.55179723934,0.864006037643,0.913294054118,0.95942936301
10090853.0,37.18,4.08371520789,4665.0,0.31,13.1455436421,11.1,9.81,1.29,1.25820276066,8.55179723934,0.852597356306,0.903603560093,0.952772623564
10093930.0,33.7,4.01651203798,4664.0,0.38,15.3464983898,11.03,9.89,1.14,1.10401970585,8.78598029415,0.900599504834,0.939257214376,0.940978801938
10093930.0,33.7,4.01651203798,4664.0,0.38,16.4933765724,11.03,9.89,1.14,1.10401970585,8.78598029415,0.875513142056,0.920113962135,0.918247234849
9406415.0,59.28,5.16115439347,5089.0,0.0,11.1520000923,11.2,10.14,1.06,1.03688560322,9.10311439678,0.947069557486,0.927621283886,0.92244590606
9406415.0,59.28,5.16115439347,5089.0,0.0,12.9416834254,11.2,10.14,1.06,1.03688560322,9.10311439678,0.925827992534,0.8958654169,0.88400394337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9602917.0,31.66,4.00337500452,4714.0,-0.25,12.951545335,11.4,10.23,1.17,1.13156182537,9.09843817463,0.898103498539,0.917619221562,0.897409897994
9602917.0,31.66,4.00337500452,4714.0,-0.25,13.3891099727,11.4,10.23,1.17,1.13156182537,9.09843817463,0.895703732057,0.915026441752,0.893047600635
2831788.0,53.73,5.45520940441,4662.0,0.09,13.598860155,11.4,10.27,1.13,1.09515235887,9.17484764113,0.957737511107,0.98179586385,0.905565684035
2831788.0,53.73,5.45520940441,4662.0,0.09,14.8889193518,11.4,10.27,1.13,1.09515235887,9.17484764113,0.939722837315,0.972663508827,0.860827379964
10550429.0,133.98,10.6754840775,4936.0,0.04,16.4214498712,10.79,9.86,0.93,0.940594213806,8.91940578619,0.559064691438,0.629535475082,0.488541811101
10550429.0,133.98,10.6754840775,4936.0,0.04,12.6900302707,10.79,9.86,0.93,0.940594213806,8.91940578619,0.856806223189,0.905078439984,0.785340979762
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9705687.0,74.32,6.59668979801,5342.0,-0.3,15.1235882417,10.68,9.8,0.88,0.905154084403,8.8948459156,0.693017601137,0.753827332404,0.652633874641
9705687.0,74.32,6.59668979801,5342.0,-0.3,14.4533293964,10.68,9.8,0.88,0.905154084403,8.8948459156,0.745736770921,0.803510882021,0.708885649613
6587245.0,24.94,2.73539260984,4494.0,-0.01,15.2865902973,11.31,10.13,1.18,1.14107352176,8.98892647824,0.908360171121,0.967293400238,0.913426621912
6587245.0,24.94,2.73539260984,4494.0,-0.01,13.6949571445,11.31,10.13,1.18,1.14107352176,8.98892647824,0.923291452383,0.974166765471,0.934179491321
9408590.0,44.47,4.53221138049,4784.0,0.0,15.2541052379,11.05,10.0,1.05,1.02903290892,8.97096709108,0.898463178392,0.915787033219,0.87465809228
9408590.0,44.47,4.53221138049,4784.0,0.0,12.6049474984,11.05,10.0,1.05,1.02903290892,8.97096709108,0.940675559316,0.954917491846,0.936541729956
10592802.0,29.93,4.04475067108,5015.0,-0.61,14.3016749783,11.12,10.11,1.01,0.998544973982,9.11145502602,0.921164440051,0.948387454007,0.964482675714
10592802.0,29.93,4.04475067108,5015.0,-0.61,16.4053692636,11.12,10.11,1.01,0.998544973982,9.11145502602,0.895617476579,0.926908718508,0.943947568419
9517542.0,20.43,2.6325539867,4496.0,-0.08,11.4726935135,11.51,10.41,1.1,1.06941272047,9.34058727953,0.980524580507,0.964555740044,0.941615896778
9517542.0,20.43,2.6325539867,4496.0,-0.08,12.5871871723,11.51,10.41,1.1,1.06941272047,9.34058727953,0.980166645404,0.963709523449,0.939634299155
11904929.0,44.5,4.61933682713,4997.0,-0.33,13.2177123485,11.11,10.11,1.0,0.991120414,9.118879586,0.931015014721,0.915925791489,0.939223482566
11904929.0,44.5,4.61933682713,4997.0,-0.33,14.9345116629,11.11,10.11,1.0,0.991120414,9.118879586,0.896268528039,0.868520002688,0.896289386308
8085964.0,96.97,7.40935126477,4982.0,0.23,14.637892329,11.04,10.06,0.98,0.97646070987,9.08353929013,0.627877956493,0.60495612385,0.510447701646
8085964.0,96.97,7.40935126477,4982.0,0.23,12.8702430154,11.04,10.06,0.98,0.97646070987,9.08353929013,0.7586367456,0.7382445976,0.628317752681
11495120.0,60.96,5.72392475634,4992.0,-0.05,15.9777537795,10.71,9.72,0.99,0.983761279802,8.7362387202,0.739998389883,0.788360618242,0.725219307436
11495120.0,60.96,5.72392475634,4992.0,-0.05,12.0127239372,10.71,9.72,0.99,0.983761279802,8.7362387202,0.915814051824,0.942532023639,0.923826730047
9472481.0,62.31,5.49414981074,4940.0,-0.18,14.1224642575,11.29,10.31,0.98,0.97646070987,9.33353929013,0.821551101301,0.854384130844,0.721417740546
9472481.0,62.31,5.49414981074,4940.0,-0.18,11.3868443719,11.29,10.31,0.98,0.97646070987,9.33353929013,0.902621008187,0.927719616002,0.848698969473
11133969.0,30.54,3.70609890149,4688.0,-0.28,12.8220660689,10.95,9.77,1.18,1.14107352176,8.62892647824,0.923901991889,0.886318758209,0.898709656374
11133969.0,30.54,3.70609890149,4688.0,-0.28,11.8666751647,10.95,9.77,1.18,1.14107352176,8.62892647824,0.926788694406,0.891282758583,0.90445962863
