kic1	kic2	tyc1	tyc2
KIC	11821439	TYC	3565-383-1
KIC	11819760	TYC	3564-99-1
KIC	11920678	TYC	3564-2955-1
KIC	11820688	TYC	3564-2931-1
KIC	11869095	TYC	3564-834-1
KIC	12017985	TYC	3564-630-1
KIC	11868264	KIC	11868264
KIC	11769182	TYC	3564-247-1
KIC	12114999	KIC	12114999
KIC	11868246	KIC	11868246
KIC	11767058	TYC	3564-1163-1
KIC	11614827	KIC	11614827
KIC	11716326	TYC	3564-777-1
KIC	12418515	KIC	12418515
KIC	12316494	KIC	12316494
KIC	12367827	TYC	3569-375-1
KIC	12169845	TYC	3569-363-1
KIC	12120230	TYC	3565-1423-1
KIC	12217154	TYC	3569-222-1
KIC	12168406	KIC	12168406
KIC	12366461	KIC	12366461
KIC	12366537	TYC	3569-51-1
KIC	12470054	TYC	3569-22-1
KIC	12070114	TYC	3565-25-1
KIC	12070650	TYC	3565-257-1
KIC	12314927	TYC	3569-273-1
KIC	12365293	TYC	3569-514-1
KIC	12314910	TYC	3569-26-1
KIC	12215647	KIC	12215647
KIC	12167521	TYC	3569-104-1
KIC	12216750	KIC	12216750
KIC	12118044	KIC	12118044
KIC	12117790	TYC	3564-2949-1
KIC	12164879	TYC	3568-39-1
KIC	12116393	KIC	12116393
KIC	12067001	TYC	3564-86-1
KIC	10662618	TYC	3547-1541-1
KIC	10793771	TYC	3547-480-1
KIC	10793872	TYC	3547-1135-1
KIC	10858331	KIC	10858331
KIC	10973854	TYC	3547-809-1
KIC	10532751	TYC	3547-2036-1
KIC	10598558	TYC	3547-923-1
KIC	11028575	KIC	11028575
KIC	11028372	KIC	11028372
KIC	10918731	TYC	3547-1275-1
KIC	10859779	KIC	10859779
KIC	10859941	TYC	3547-1404-1
KIC	10977629	TYC	3560-1160-1
KIC	10921258	KIC	10921258
KIC	10799530	TYC	3560-1310-1
KIC	10667886	TYC	3560-2272-1
KIC	10801063	TYC	3560-1174-1
KIC	10669123	KIC	10669123
KIC	10979181	KIC	10979181
KIC	10864711	TYC	3560-758-1
KIC	10604460	TYC	3560-1471-1
KIC	10670445	TYC	3560-9-1
KIC	10736390	TYC	3560-2382-1
KIC	10735926	TYC	3560-1696-1
KIC	10866415	TYC	3560-968-1
KIC	10979742	KIC	10979742
KIC	11141358	KIC	11141358
KIC	10206307	TYC	3547-2518-1
KIC	10206840	KIC	10206840
KIC	10468528	TYC	3547-2111-1
KIC	10402819	TYC	3547-2592-1
KIC	10467570	KIC	10467570
KIC	10272641	TYC	3547-2212-1
KIC	10207321	TYC	3547-2363-1
KIC	10207059	KIC	10207059
KIC	10469976	TYC	3547-1469-1
KIC	10599712	TYC	3547-971-1
KIC	10666932	TYC	3547-1626-1
KIC	10600926	TYC	3547-1368-1
KIC	10602976	TYC	3560-269-1
KIC	10602374	KIC	10602374
KIC	10602015	TYC	3560-135-1
KIC	10474071	KIC	10474071
KIC	10603170	KIC	10603170
KIC	10603958	TYC	3560-411-1
KIC	10473692	TYC	3560-1487-1
KIC	11509792	TYC	3564-1976-1
KIC	11352756	TYC	3564-2677-1
KIC	11247049	TYC	3564-2191-1
KIC	11298714	TYC	3564-2686-1
KIC	11298371	TYC	3564-2198-1
KIC	11298561	KIC	11298561
KIC	11085809	TYC	3560-122-1
KIC	11138375	KIC	11138375
KIC	11031040	TYC	3560-612-1
KIC	11191557	TYC	3551-509-1
KIC	11244968	TYC	3551-1007-1
KIC	11191444	KIC	11191444
KIC	11245307	KIC	11245307
KIC	11244855	TYC	3551-159-1
KIC	11084620	TYC	3547-187-1
KIC	11190768	TYC	3551-465-1
KIC	11083701	TYC	3547-601-1
KIC	11084022	TYC	3547-711-1
KIC	11083613	TYC	3547-198-1
KIC	11083319	TYC	3547-265-1
KIC	11136854	TYC	3547-436-1
KIC	11135910	TYC	3551-1107-1
KIC	11188067	TYC	3551-911-1
KIC	11135286	TYC	3551-251-1
KIC	11027005	TYC	3547-793-1
KIC	11027337	KIC	11027337
KIC	11293804	TYC	3551-129-1
KIC	11294218	TYC	3551-15-1
KIC	11026472	TYC	3547-1293-1
KIC	10857953	TYC	3547-1187-1
KIC	11612171	TYC	3564-1181-1
KIC	11612603	TYC	3564-227-1
KIC	11509608	KIC	11509608
KIC	11509277	TYC	3564-1608-1
KIC	11560939	KIC	11560939
KIC	11456449	TYC	3564-999-1
KIC	11508970	TYC	3564-1227-1
KIC	11559818	TYC	3551-1679-1
KIC	11403437	KIC	11403437
KIC	11351140	TYC	3551-2461-1
KIC	11350954	TYC	3551-281-1
KIC	11455925	TYC	3551-1719-1
KIC	11559645	KIC	11559645
KIC	11661782	TYC	3551-1737-1
KIC	11559478	TYC	3551-1634-1
KIC	11455176	TYC	3551-1959-1
KIC	11453905	TYC	3551-2163-1
KIC	11401466	TYC	3551-2355-1
KIC	11453627	TYC	3551-2338-1
KIC	11349014	TYC	3551-2446-1
KIC	11295851	TYC	3551-641-1
KIC	9760904		TYC
KIC	9700899		TYC
KIC	9761625		TYC
KIC	9821783		TYC
KIC	9881628		TYC
KIC	9456153		TYC
KIC	9579328		TYC
KIC	9882550		KIC
KIC	9883123		TYC
KIC	9702057		TYC
KIC	9883214		TYC
KIC	9641246		KIC
KIC	9579860		TYC
KIC	9640886		TYC
KIC	9518506		TYC
KIC	9641772		TYC
KIC	9641484		TYC
KIC	9580991		TYC
KIC	9763419		TYC
KIC	9702841		KIC
KIC	9581445		TYC
KIC	9825039		TYC
KIC	9644558		TYC
KIC	9583430		TYC
KIC	9946773		TYC
KIC	9705636		TYC
KIC	9704774		KIC
KIC	9583720		TYC
KIC	9706209		TYC
KIC	9706194		TYC
KIC	9706585		KIC
KIC	9767332		TYC
KIC	9145781		TYC
KIC	9145952		TYC
KIC	9395535		TYC
KIC	9332840		KIC
KIC	9333290		TYC
KIC	9333501		TYC
KIC	9333184		TYC
KIC	9396095		TYC
KIC	9456478		TYC
KIC	9080445		TYC
KIC	9080175		TYC
KIC	9080407		TYC
KIC	9396363		TYC
KIC	9147335		TYC
KIC	9211401		TYC
KIC	9273827		KIC
KIC	9520156		TYC
KIC	9336090		KIC
KIC	9335518		KIC
KIC	9582005		TYC
KIC	9521461		TYC
KIC	10202184	TYC	3546-585-1
KIC	10136291	TYC	3547-2908-1
KIC	10071249	TYC	3547-684-1
KIC	10006852	TYC	3547-928-1
KIC	10005966	TYC	3546-1073-1
KIC	10068810	TYC	3546-931-1
KIC	9945290		KIC
KIC	10005422	KIC	10005422
KIC	10267242	TYC	3546-777-1
KIC	10003419	TYC	3546-1017-1
KIC	10199187	KIC	10199187
KIC	10132247	TYC	3546-399-1
KIC	10066568	TYC	3546-601-1
KIC	9942816		TYC
KIC	9882446		TYC
KIC	10065848	TYC	3546-635-1
KIC	10002647	TYC	3546-949-1
KIC	10328498	TYC	3545-2676-1
KIC	9881167		TYC
KIC	10196797	TYC	3545-2888-1
KIC	10196240	TYC	3545-2882-1
KIC	9941141		TYC
KIC	9820702		TYC
KIC	10659100	TYC	3546-173-1
KIC	10593078	KIC	10593078
KIC	10592924	TYC	3546-2253-1
KIC	10724027	TYC	3546-1440-1
KIC	10723388	TYC	3546-814-1
KIC	10527661	TYC	3546-1872-1
KIC	10592249	TYC	3546-1738-1
KIC	10721900	TYC	3546-1400-1
KIC	10461757	TYC	3546-2321-1
KIC	10395638	TYC	3546-1585-1
KIC	10198347	TYC	3546-497-1
KIC	10525475	TYC	3546-1967-1
KIC	10525282	TYC	3546-1962-1
KIC	10525595	TYC	3546-1840-1
KIC	10590683	TYC	3546-1238-1
KIC	10524715	TYC	3546-2040-1
KIC	10394814	TYC	3546-461-1
KIC	10459696	TYC	3546-2135-1
KIC	10394570	KIC	10394570
KIC	8479182		TYC
KIC	8607581		TYC
KIC	8737032		TYC
KIC	8802374		TYC
KIC	8867740		TYC
KIC	8479383		TYC
KIC	8479780		TYC
KIC	8674581		TYC
KIC	8739118		TYC
KIC	8738834		TYC
KIC	8804395		TYC
KIC	8675106		TYC
KIC	8676094		TYC
KIC	8611114		TYC
KIC	8805565		TYC
KIC	8805663		TYC
KIC	8612520		TYC
KIC	8872979		TYC
KIC	8613617		TYC
KIC	8742013		TYC
KIC	8677342		TYC
KIC	8742545		TYC
KIC	9077844		TYC
KIC	8941202		KIC
KIC	8081278		KIC
KIC	8283646		KIC
KIC	8283356		TYC
KIC	8081535		TYC
KIC	8415501		KIC
KIC	8350443		TYC
KIC	8350645		TYC
KIC	8283958		TYC
KIC	8284032		KIC
KIC	8545291		TYC
KIC	8545504		TYC
KIC	8284682		TYC
KIC	8285510		TYC
KIC	8482522		TYC
KIC	9269772		KIC
KIC	9143834		KIC
KIC	9143868		TYC
KIC	9008270		TYC
KIC	9392039		TYC
KIC	9142574		TYC
KIC	9205705		TYC
KIC	9329058		TYC
KIC	9329200		TYC
KIC	8937073		TYC
KIC	9328135		TYC
KIC	9139859		KIC
KIC	9004448		TYC
KIC	9202995		TYC
KIC	9003765		TYC
KIC	9002344		TYC
KIC	8934264		KIC
KIC	8671819		TYC
KIC	9453362		TYC
KIC	9818513		KIC
KIC	9758246		TYC
KIC	9451434		TYC
KIC	9451999		TYC
KIC	9574650		TYC
KIC	9635603		KIC
KIC	9390293		KIC
KIC	9635388		TYC
KIC	9450786		TYC
KIC	9511938		TYC
KIC	10023439	TYC	3561-1447-1
KIC	10087394	TYC	3561-918-1
KIC	10153739	TYC	3561-1315-1
KIC	10286616	TYC	3561-2106-1
KIC	10220795	TYC	3561-1287-1
KIC	10220213	TYC	3561-870-1
KIC	10025321	TYC	3561-1389-1
KIC	9903915		TYC
KIC	10025387	TYC	3561-744-1
KIC	9904563		KIC
KIC	10155731	TYC	3561-1373-1
KIC	10090400	TYC	3561-894-1
KIC	10290457	TYC	3561-876-1
KIC	10157507	TYC	3561-1331-1
KIC	10224100	KIC	10224100
KIC	10224535	TYC	3561-1257-1
KIC	10159217	KIC	10159217
KIC	9968040		TYC
KIC	9967351		KIC
KIC	9967174		TYC
KIC	9967700		TYC
KIC	9966823		TYC
KIC	9968249		TYC
KIC	10161943	TYC	3562-1862-1
KIC	9970467		TYC
KIC	10095409	KIC	10095409
KIC	9851743		TYC
KIC	10162765	TYC	3562-1694-1
KIC	10229796	TYC	3562-2196-1
KIC	10163776	TYC	3562-1933-1
KIC	10297313	TYC	3562-1937-1
KIC	10362043	TYC	3562-1039-1
KIC	9662343		TYC
KIC	9540226		TYC
KIC	9843358		TYC
KIC	9662395		KIC
KIC	9724324		TYC
KIC	9724882		TYC
KIC	9542218		KIC
KIC	9846877		KIC
KIC	9906278		TYC
KIC	9785675		TYC
KIC	9786625		KIC
KIC	9605294		TYC
KIC	9604524		TYC
KIC	9726814		TYC
KIC	9847893		TYC
KIC	9727392		TYC
KIC	9728284		KIC
KIC	9727675		KIC
KIC	9728845		TYC
KIC	9788834		KIC
KIC	9909804		TYC
KIC	9790050		TYC
KIC	10817660	TYC	3562-383-1
KIC	10880958	TYC	3562-1082-1
KIC	10881810	TYC	3562-173-1
KIC	10753962	KIC	10753962
KIC	10684837	TYC	3562-303-1
KIC	10553844	TYC	3562-497-1
KIC	10492041	KIC	10492041
KIC	10555186	TYC	3562-883-1
KIC	10683647	TYC	3562-1204-1
KIC	10816214	KIC	10816214
KIC	10816748	TYC	3562-1119-1
KIC	10488243	KIC	10488243
KIC	10357764	TYC	3561-1835-1
KIC	10358632	TYC	3562-1679-1
KIC	10291535	KIC	10291535
KIC	10552202	TYC	3561-1954-1
KIC	10489073	KIC	10489073
KIC	10552972	TYC	3561-1881-1
KIC	10552614	KIC	10552614
KIC	10618005	KIC	10618005
KIC	10747862	TYC	3561-1804-1
KIC	10749112	TYC	3561-236-1
KIC	10420822	TYC	3561-1571-1
KIC	10355672	TYC	3561-1852-1
KIC	10356057	KIC	10356057
KIC	10614707	TYC	3561-1444-1
KIC	10614602	TYC	3561-869-1
KIC	10485765	KIC	10485765
KIC	10483504	KIC	10483504
KIC	10678016	TYC	3561-1706-1
KIC	10613466	TYC	3561-1256-1
KIC	10546977	TYC	3561-761-1
KIC	10613112	KIC	10613112
KIC	10417308	TYC	3561-1926-1
KIC	10353044	TYC	3561-1901-1
KIC	10352615	TYC	3561-1688-1
KIC	10287323	TYC	3561-2029-1
KIC	10610250	TYC	3561-1722-1
