kic1	kic2	tyc1	tyc2
KIC	2305930		TYC
KIC	2018392		KIC
KIC	2307683		TYC
KIC	1726211		TYC
KIC	2448225		TYC
KIC	2449703		TYC
KIC	2309469		KIC
KIC	2996112		KIC
KIC	1720425		KIC
KIC	1162746		TYC
KIC	1432587		TYC
KIC	1433730		TYC
KIC	1576469		TYC
KIC	1433593		TYC
KIC	1435573		TYC
KIC	3120486		KIC
KIC	3120585		TYC
KIC	2714397		TYC
KIC	3444374		TYC
KIC	2988988		TYC
KIC	3114408		TYC
KIC	3231503		TYC
KIC	3748691		TYC
KIC	3955590		TYC
KIC	4057744		TYC
KIC	4262505		TYC
KIC	3747777		TYC
KIC	3545147		TYC
KIC	3747860		KIC
KIC	4056266		TYC
KIC	3849027		KIC
KIC	3443483		TYC
KIC	3645232		TYC
KIC	3339894		TYC
KIC	3847071		TYC
KIC	3642038		TYC
KIC	3847697		KIC
KIC	3453419		TYC
KIC	3860176		TYC
KIC	4168909		TYC
KIC	3760337		TYC
KIC	3869326		TYC
KIC	3560181		TYC
KIC	4760954		TYC
KIC	4279700		TYC
KIC	4575645		TYC
KIC	4937204		KIC
KIC	4378473		TYC
KIC	4475934		TYC
KIC	4755467		TYC
KIC	4662939		TYC
KIC	4570555		TYC
KIC	4843143		TYC
KIC	4569298		TYC
KIC	4271039		TYC
KIC	4469886		KIC
KIC	4469602		TYC
KIC	5288716		KIC
KIC	5287610		KIC
KIC	5374118		TYC
KIC	5283798		TYC
KIC	4930906		TYC
KIC	5104949		TYC
KIC	5017711		KIC
KIC	3656231		TYC
KIC	4169130		TYC
KIC	3758458		TYC
KIC	4275625		TYC
KIC	3660976		TYC
KIC	3455760		TYC
KIC	3457618		KIC
KIC	4764420		TYC
KIC	4764422		TYC
KIC	4570120		TYC
KIC	4269391		TYC
KIC	4164910		TYC
KIC	5288607		KIC
KIC	5285357		TYC
KIC	5196152		TYC
KIC	4933594		KIC
KIC	5282875		TYC
KIC	5283958		TYC
