SNR1,SNR2,SNR3,SNR4
30.4566315822,48.6921688816,62.1800571469,20.1031202051
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
11.4726453072,36.0774673564,114.106030334,37.8725613201
18.3813944377,39.0107038181,39.0844604787,13.9934171752
2.70872604824,16.2803316792,56.6325429882,40.968172492
21.7847506415,48.8850835004,49.4828186418,30.5862784486
17.2159760708,25.2896692735,48.1261959122,20.3129679336
39.9080434033,97.4758428126,384.047325436,155.907787862
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
19.2219346667,17.2885931172,53.8981343135,19.6550344463
21.3810213044,24.0002121383,26.0899318381,15.1801601792
30.5225409689,25.1328069453,30.8916533678,5.78695347989
40.1050674759,64.7393924066,207.903618788,75.0931013372
30.0536842848,60.7108729871,215.600228704,78.5501261678
12.735740473,11.9131873924,34.8991683616,32.4297957202
37.6424170814,31.7770730516,102.706745054,61.9949015736
31.6981012771,95.0282070898,209.711426633,78.8967379253
29.1195227534,40.526687214,254.366546267,93.588962131
56.9298400455,114.999656773,182.390922363,42.1855728307
34.0450958995,30.9858241028,45.7626906861,31.7765405449
7.18482189244,13.4333084477,11.0714860342,15.4293166528
15.1790903253,27.5660043144,37.7754904666,22.8432591316
0.0,0.0,0.0,0.0
11.0859617444,24.1176155618,61.9600033608,39.3880842305
20.4830932523,175.547103576,441.446554672,52.1581197385
24.7628745394,97.5990641433,115.093103648,10.8842031243
20.8730131585,26.6148395563,31.9201171756,14.3826211368
38.7215836552,36.7658756958,58.534590263,18.7634146926
22.9347801301,37.4512473965,17.3794407182,6.38310422856
17.4182686059,19.8173856779,66.8199322949,48.4153357234
11.454096057,27.1824561716,38.7322097332,25.741219692
19.9263648234,41.2325708229,57.7080144377,30.073810337
10.5040828825,24.3080230726,28.5571131711,26.8726464205
0.0,0.0,0.0,0.0
9.18173132227,45.469304524,62.2353048666,21.07320425
13.1852096067,30.2383803239,64.4349194414,54.405524592
13.0110898955,27.7125533444,97.1362330706,35.0399210587
8.41157286746,26.7692671786,74.7512688996,44.4681047191
24.7133048512,28.3184905356,21.3124548568,10.8643794191
48.8132400759,66.3933204467,432.260462681,57.9519596175
17.5423330298,37.2504009033,53.1370622531,29.1766094616
42.2964985409,60.0062086348,22.3484659514,13.404580983
32.7795235078,29.4811721737,32.84546531,9.99056294015
20.5498082747,39.7921902027,63.3526744253,23.4257460606
8.26895650339,35.7941276641,20.1528667165,28.3980063349
32.3560169194,42.5759137478,13.8768243679,6.38665797645
48.8344789699,86.624378946,37.7083860544,13.1366206097
12.4935820292,46.5255035008,33.0081952441,43.3492614481
25.7530389659,37.2905389673,18.6368180157,6.4964075515
10.9842547229,13.0951168354,67.6904992082,31.6181306508
45.3371064877,46.5836089053,402.459082212,373.040257584
94.0214077824,262.182929842,300.144601612,215.032643331
9.94587552415,36.323360805,136.751229869,118.194115486
19.8570235035,46.0262391008,65.7129362175,35.3231791874
22.3589612014,30.3334576606,56.4001673221,13.7682778603
28.4871725393,20.9695913163,33.3585804895,31.7020176323
10.8737148687,14.1751291929,24.2301684759,23.1335956871
33.3051920771,31.4047643083,33.4200920401,21.9010545564
4.92906837515,12.4614195141,79.3313058924,75.3952946894
30.970698999,39.0305840876,44.3140040464,30.8938660934
18.1417030624,20.47372436,35.4224762572,17.1518998002
18.5728411574,66.3312371139,89.104036658,20.8942081439
11.8777286274,16.8382109284,52.3710860541,38.0509968712
8.05674849022,11.9655544403,18.0578468679,16.1058913749
0.0,0.0,0.0,0.0
10.1305644445,21.568564419,30.3428603303,21.9344197972
31.3891798927,42.4960190222,274.853366695,254.484763284
16.6784545077,35.6057952142,76.2570663346,28.423363381
7.33039733823,15.2923826445,56.9464389744,26.5399222216
6.87255525291,27.6522123343,75.4870122288,67.0290558327
31.0469885288,37.9736485383,38.3050937018,18.770197107
17.5338206801,18.0111455346,33.0793759646,20.2926429375
15.3445383277,83.4448611948,181.499271659,75.7658693872
30.5545662428,32.1862951782,44.4750089508,32.2940628029
13.311977293,53.6213672451,34.8803651665,46.9757687212
36.0577374037,43.3191343843,22.4472251676,19.4209307526
11.1338062931,15.9735059351,51.8716541408,43.4770006609
0.0,0.0,0.0,0.0
13.9131447309,20.5735100231,71.6438730262,57.2875512862
15.9340282504,34.931534944,39.5239454389,19.5038289521
24.2120719631,76.2077952312,98.466739558,9.09882832185
23.2816603783,34.70262667,46.257140932,29.6563534077
14.4679301435,29.3835255077,70.9239686648,40.9024841601
14.0833737042,31.0547390021,34.634070939,16.3689541714
20.116108677,23.208620685,57.0789223743,38.0011826242
9.60624584927,12.7607005491,37.6296729824,25.6113787729
26.0331905617,50.8181495754,40.3384048456,29.6008988561
24.2737283802,30.9780636389,40.6143404021,27.9806934585
23.04510723,30.0023262349,45.8614107155,44.9451015124
25.2287235021,54.7321976911,100.55106412,95.3340060008
15.1727925198,40.5755425118,43.6949175454,23.8150860735
17.1841060933,40.3367731981,53.8918942628,15.2880242663
61.8798419773,85.1091012063,132.657337792,33.7236751211
18.6357018929,37.914181401,48.7493969372,42.548128612
8.76956778438,16.0633098756,37.7022470871,28.2856013848
6.41338401131,29.883501413,31.0368872207,19.458275876
31.5442962107,57.5343839548,192.61680209,120.493459758
13.8826896335,41.5230704859,45.789065307,14.0498672455
7.18001760703,41.8205561353,68.3565544853,53.6676403777
13.901065264,46.9611110666,163.161812222,49.1482947429
0.0,0.0,0.0,0.0
12.9892208894,24.9970496493,89.8981820259,37.1307381066
15.5501617382,20.708640257,50.6091322652,26.54537957
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
11.5435830783,20.3320664075,35.1439057528,27.5960596006
70.8106185384,130.451529215,41.0940304241,48.709614725
0.0,0.0,0.0,0.0
20.6689699295,35.6332512709,43.7017432809,21.6751474195
8.63843545301,22.4363591813,100.017225274,28.3262019916
5.68056209739,17.5510090075,90.0063317298,74.4127564804
25.5223836212,39.9702959186,16.7723894601,14.9739666353
27.756867255,66.2267472412,97.5475977585,37.8113638393
18.0012864242,44.5379016205,48.4808396409,18.7014860118
27.9526185408,42.1072032673,15.5788928937,10.2861428686
0.0,0.0,0.0,0.0
25.7592851868,47.8886366298,187.794297144,105.006638812
11.8932933774,13.1487842409,67.9482490209,27.388479598
20.7802700721,27.9945779836,50.6134536374,46.099861907
0.0,0.0,0.0,0.0
8.78578062006,15.8739966022,61.8791817666,42.0596558228
0.0,0.0,0.0,0.0
6.6897081089,19.2439089969,71.3498738197,55.82028414
14.6186492753,57.1112550338,71.7745140077,36.0246201505
10.4117118425,15.7825537397,84.4143083219,81.8229476209
12.2857458072,60.6422902557,47.3970437301,43.5404855154
10.2988453287,23.7652017523,43.3088242955,26.0672050873
8.55847072276,37.7089048035,82.2616103905,69.6333510369
11.5565547953,9.02883936229,32.4023815059,28.9730271256
23.4122389029,20.658344241,55.5318273529,29.9436713655
12.230897068,38.009948554,247.344158924,78.2288509769
16.0181140486,21.9745182277,128.070665553,62.7856107563
8.69250699177,32.9962528129,82.7306274898,29.846810731
27.4567067644,54.1326587425,54.3995376845,18.3167654517
12.1407379539,21.8438419943,68.9704617179,22.760961489
0.0,0.0,0.0,0.0
7.0527205639,43.1202518751,35.5478739397,20.3740747441
8.27292307576,24.6756462084,54.0179877544,30.2965282858
13.3702935636,23.8277448004,49.6154788781,22.9817146171
0.0,0.0,0.0,0.0
23.7860100384,92.9762365801,32.6975200695,23.1325862664
14.8735451019,39.2836471575,86.6525929537,52.1839087114
18.2028390201,25.9788823463,167.172722157,120.792016698
10.1182143116,30.0934778197,150.374232419,84.3078429317
18.1570985231,11.9558440162,52.7270650915,24.0848191899
45.2737816834,105.299541059,182.818095918,30.4295452697
0.0,0.0,0.0,0.0
20.4574677464,18.3088125905,46.2042482641,29.8832958833
20.283396187,21.8074833862,30.5578575298,18.0512704898
0.0,0.0,0.0,0.0
10.4583381355,27.9049817942,63.3970147368,58.3786789788
24.8241175932,22.6209784555,34.4353438584,20.4873816512
3.8072318326,14.8656390981,79.9246336183,29.2619734316
8.8233639509,11.9974484999,21.2640865732,17.6371239568
6.64898684135,17.7211411776,86.7088517227,31.6312148976
40.8723777562,48.0866548749,53.0187365362,44.2127561649
33.2004541966,35.4084755004,50.4341726681,11.9345934628
12.8553305857,40.1927950191,284.43324654,177.611503749
3.81518017435,21.3424167543,40.1264723091,15.0172794906
15.7480975666,19.7002597617,13.0330142682,12.6122484934
60.4895575841,68.0181356536,130.645097352,58.2022936134
33.6763761053,36.3364519624,27.3547642679,12.0712890548
9.11801661912,9.05341202424,76.5111235881,36.4180693736
6.35871949312,13.0375381484,128.581490255,90.7758897022
19.2782355679,23.1798119167,95.6800038425,31.5909436704
16.500085452,26.7063601197,34.2198067238,32.4927546058
13.793147299,34.1048896666,59.8983219348,31.1512762433
0.0,0.0,0.0,0.0
15.2279740142,23.4125991146,70.7700890931,21.738097189
18.617565838,21.9853521876,23.0399754716,9.84584235255
6.84504063319,20.3584208934,42.5028193557,29.9576318327
25.7123573976,88.4298088242,150.31587962,40.3198160709
44.5165565804,47.7659366848,18.5013776169,13.7465429104
15.7886549415,18.0683170034,45.5585037419,37.8896905703
4.83253473234,10.8921582448,87.3275703847,65.6665475562
26.1301465131,83.3178086418,164.318959175,46.4992548172
14.1934294107,28.1311100458,28.2064084689,21.2907683551
0.0,0.0,0.0,0.0
9.05234205041,22.9090027707,43.5560584211,20.635359746
14.6364811044,16.797125183,32.0979762355,25.3759538614
16.1802589016,77.240704346,167.761564723,49.279446464
33.9601236925,32.8314692887,38.3570409948,25.1736380084
13.7621446755,31.8495216537,49.5143284433,42.0976157404
50.4663206508,29.4751549474,163.544297267,50.1369498729
17.7941293406,40.1499790552,44.8740544156,36.0205880202
9.30587816227,32.0119686503,26.2110636785,29.8037988443
12.9527702174,39.956598584,167.931203088,66.0527209586
20.5069927202,30.3390976554,35.0875372693,42.3169826403
17.3385077315,32.1753823629,46.8338836401,46.3612831792
20.6807684162,30.643500466,43.8850931752,23.5760469808
16.1640399667,37.3977445689,66.3142615292,32.3654436868
8.04714149349,33.4206680591,111.964946521,99.7958438722
7.709497865,91.9683132747,98.4331906187,24.062798888
7.60337500928,33.174938467,96.5847052739,86.5669443928
40.0009756274,58.955257708,105.651765126,36.5230182165
14.4591604786,22.679841949,38.4954982427,34.8585070777
19.6114889812,89.0855046898,20.6433769094,10.9891896901
15.9734031081,31.5092942987,62.8255809102,26.7335642789
11.5804890854,14.8056255304,47.6623310942,40.5010184734
0.0,0.0,0.0,0.0
27.3370325485,27.9851299952,54.4314234992,21.109150109
39.9775544617,95.2204853277,67.4002937579,67.4002937579
16.6191708794,6.53603143823,20.8993095942,16.3133815032
15.1068733354,23.0197252254,104.114331588,39.4175125925
24.5186323073,25.1629503123,147.256323626,137.977049844
10.9329784168,26.7621991933,64.3427560409,54.7335256135
9.16505111006,17.9055324244,60.624243152,38.7868228206
25.9391437542,18.6598684253,52.3084189759,36.1822878993
5.6879300892,43.4818001792,27.0423160893,13.0709398865
31.1673414233,30.145511746,55.245467699,34.5557649652
10.3643301647,47.2009955605,55.1385815932,51.7231070817
21.0036423154,16.5352341316,31.8386432697,27.4906086514
12.377297744,44.7923545153,127.242427777,55.9867757587
14.3195340011,39.2600403048,51.6503977009,22.301230591
35.9946798488,48.8009781672,23.5653683191,22.8905106086
8.07558907684,45.9897448607,25.2034313921,18.6353462279
4.58373997237,31.2685087538,45.1932458309,19.5918746383
7.60059227995,16.0851889975,43.0618648679,26.4521611762
15.7907485796,61.3266394559,97.9280356843,80.2564375873
10.2303192796,8.61030350296,43.5415670462,30.7501291472
16.6215108365,17.4943222021,56.342173371,36.8113661913
7.44295584511,26.6410814989,234.547812677,126.025844765
18.0887491183,22.0633578189,117.07321488,87.1114659269
22.678523003,41.9728107463,202.657618164,72.4365171006
8.71756306281,16.7502025929,84.64886042,69.779770088
34.9181283926,33.005027982,36.5314028294,22.1550479644
8.18599674108,9.9936755222,33.2864136325,21.509560225
5.08817166102,12.9644813174,44.7073860609,30.1212509096
12.0292343221,14.7849068593,37.7768552861,17.6821920334
6.0595887821,28.7437514532,62.7103817724,26.4300378856
7.56182860895,22.0524321525,41.7163991431,31.0754821237
11.3928899998,55.1459703665,108.161712867,18.6874793757
57.8327612603,113.474013013,23.0124205259,14.506623058
6.1620153833,37.3548372059,54.1387595792,21.7479414559
19.5945078622,28.9869565944,39.7892998918,21.9476961614
30.3800574079,48.7152748548,47.8580852374,12.2814040055
0.0,0.0,0.0,0.0
16.9091200359,45.4297584093,49.5209186842,20.2959541667
18.3071737707,37.1628017872,50.6495068496,47.2340889347
22.5525980459,24.3153569763,30.4216892687,19.6970278795
16.1039112214,84.9753744783,299.775337414,162.541922368
37.9819792591,44.5759861126,340.824817881,103.751474043
0.0,0.0,0.0,0.0
5.88476588235,11.6334405192,144.403961039,75.2096912173
13.6775431585,12.5980732453,79.2385329813,42.3444459794
14.6593904195,22.118892271,103.116019872,32.9179293926
0.0,0.0,0.0,0.0
11.8192019199,14.4709437148,32.3923897247,26.1070997861
8.91830760782,18.2852006648,55.2024016024,17.5818341548
13.2126123664,22.4829884971,27.2285795873,17.0008406922
8.63448098714,16.1647079316,50.5771018225,25.1354793471
46.6240149967,75.4069202702,72.6933825929,32.1159364377
15.7416734253,21.9942524309,25.9974301996,18.1945034338
32.1918933271,66.3776433987,171.371003795,135.562820097
18.5046851543,39.8194913608,108.576579203,36.9103604651
17.7015001701,34.6916922058,60.2521491825,25.625076268
25.3965179838,49.4443175954,139.034407126,50.3663086817
25.3168862645,37.5000022348,70.5153407233,35.9783700756
14.9029779355,23.7628783155,60.1652916708,29.0840155587
13.6543815043,25.8425554104,43.5078387491,22.9920294313
17.7269920147,37.8972918689,59.2351967827,41.5925798387
34.0182651943,45.2560924743,53.3004615464,45.1402052328
0.0,0.0,0.0,0.0
10.2491395808,34.8063341984,56.677899366,56.0480413496
9.66422067124,24.0439734559,46.9885077438,26.6876363895
10.2783069422,18.928082045,43.4187507548,33.4297719434
8.03838206457,71.4486685919,112.45649528,89.1385848926
36.0145751853,50.2791131459,79.2546542315,22.4288694645
13.2869453271,15.1563391572,90.132531338,25.5810878394
26.2039138153,30.2104658727,51.882691346,22.6158888779
27.7127660429,30.2671808959,130.136458842,44.6041572541
8.00426181829,12.0467182831,62.0427015318,48.2381717119
36.4540146522,28.5523725513,37.3017498158,14.1497265919
28.3232618264,26.3544835852,43.6910911375,30.046265626
0.0,0.0,0.0,0.0
32.0960103901,58.4337101935,201.5343238,66.1822613919
5.53449546948,18.7189327343,80.0951422,22.2522388334
20.6332459594,36.785747684,181.42502695,124.559928328
77.0448088427,93.0223651887,109.017670375,37.4267134791
10.936149831,23.6289753334,49.6126381511,44.6436466191
24.9365415705,37.56143951,177.59119174,108.612874556
23.2377139761,50.1277759794,124.113961295,17.9056841786
0.0,0.0,0.0,0.0
5.15477407036,19.3947649111,46.3810144856,40.6410773213
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
6.46468844318,16.6718220345,41.8335068104,34.1760977264
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
18.0622227909,28.57165696,65.9745646828,35.1311614482
62.6466055327,116.644191115,208.401535427,44.018975101
45.8027548408,52.8391067241,114.476582808,18.0043910367
41.6149709459,42.6904250613,252.393891363,127.424958913
20.205754831,70.618292953,162.292325514,65.4481411207
8.32220523247,15.4084660322,54.6738279802,25.0594396849
8.27443495025,16.2830799637,86.2860149188,61.6865172748
18.3530588723,47.0249960223,94.2961928438,36.7140814802
10.8380332505,19.5135052812,116.152180282,46.8128574136
13.2802660437,23.9280190075,44.1238807725,18.1768039714
18.6507576047,30.5317856022,49.4308765385,42.2702312163
0.0,0.0,0.0,0.0
6.20646321742,11.8501872531,29.0686999306,21.868221846
14.8605693615,59.1357719083,30.0902411391,14.3273123159
31.4684832442,36.6222266434,50.5640708882,21.5237120033
16.9463724355,68.9423480158,93.757698296,33.7840609982
57.4856042547,120.703474621,179.837511472,37.1754155334
41.9897310317,67.4357251384,39.0948093352,18.6631762483
44.9399353653,44.2310526115,234.314996092,82.2758052091
8.35440125468,41.5500943101,57.3304927385,18.2429421828
13.9028660635,15.1352503057,45.9813863987,36.4292620582
13.5962414242,72.4404999481,101.775916067,59.6257088707
35.7093934861,35.3895887027,38.3300699999,16.7430787517
12.4271902999,22.162469548,77.3722652567,36.4151604899
9.02405429054,6.88320411022,25.1972755458,18.6088782056
54.1090538997,149.630518026,230.298669746,58.2123928815
15.9163200522,75.455052835,124.101010734,28.8171723677
13.2979569929,46.1651168202,321.760457457,62.3484716092
18.4637821331,30.7405425945,42.358045548,30.4697638265
22.1504889102,59.3013648579,76.8242614587,39.5112774047
25.0478246035,70.4884413621,78.8783707055,13.3933332582
7.04442201924,15.3682917126,68.0730886139,23.2762147716
23.9120635629,56.4120565061,151.838043243,65.4306810349
31.5070777666,22.1749583006,32.7662650889,11.7137943966
0.0,0.0,0.0,0.0
20.2231265647,30.569461048,77.3886406726,16.3557701336
33.5721929233,45.6921302959,70.0522683453,17.3264690242
11.1196921312,33.1999020933,181.129786841,108.326961788
10.6900427515,20.9969035006,55.5590925603,36.7733993579
13.6266586959,30.9016653126,139.696326798,133.77482731
0.0,0.0,0.0,0.0
11.5522745049,26.3233636364,39.1039580781,15.0876597369
0.0,0.0,0.0,0.0
5.89003556293,11.8809191459,99.7428604282,25.8955348427
13.5499863926,24.8122645977,74.5321057623,62.2225122331
21.0300234939,40.3101716814,54.4387113367,39.504860122
30.2228549185,24.3811804643,32.1247787568,11.7433928671
0.0,0.0,0.0,0.0
8.67788661598,15.2637572037,141.535907855,106.315745432
10.7402906253,21.122128092,36.0146146848,30.0365185834
15.584938996,23.9529085937,116.778045311,57.3097149379
28.4796422959,37.5486209124,60.0650055712,41.061539998
12.2077787922,13.6843585988,31.551828742,13.3534504331
0.0,0.0,0.0,0.0
15.2065790554,26.8562151269,128.695368786,79.0153911704
9.67004748062,34.9477761364,57.7597417591,26.4128331465
38.0420461994,64.6723071637,31.2931660215,31.244668958
10.5885374516,37.5653133148,25.4457276747,26.9460138583
24.2279222717,29.4047031391,25.5478789141,29.031059932
12.2109747208,11.0272386382,37.4770516108,26.8972869086
32.8583071245,34.0619171001,81.770140874,44.7765397396
17.8824801548,32.3474877776,19.876633477,22.0125111742
12.8761589979,23.0947828376,93.5226791385,65.7790885776
11.2859081898,24.7877827146,107.364216701,41.0925450944
51.3519322488,123.726035462,132.193290232,44.1812747008
23.8990745924,37.6201840194,42.7086688748,14.8294876893
23.0050693315,38.975779791,77.0809934626,13.9524233387
17.2992541851,28.148747846,86.6577902292,25.6467917683
17.5136149851,17.3128948907,19.1023045772,7.9008591534
37.8959065505,39.6947617987,63.3592010319,20.4753778899
10.4104223229,17.8864122721,99.1667186918,20.7415474053
26.9967220983,144.820146509,293.63755645,139.849564694
5.81757360792,23.9702040327,26.465285667,24.2742340642
19.552496308,56.5631545633,31.461241942,17.6119423673
18.0360494044,14.9282479587,80.4246549417,60.1255707761
18.4138959601,37.0085774087,19.5884108656,10.3703392098
35.6613605077,46.1256748422,34.0748586235,22.723220509
15.5806850675,13.4653135027,61.7718406351,34.538520282
26.0170232021,62.2613074653,65.8743857166,24.6341956936
8.09187448771,55.7976240211,48.2128500268,32.7648817922
41.0823745251,97.3179328111,51.5266014492,35.7626815687
25.571542084,44.0905292485,163.990353469,25.1266446668
7.52601092871,13.7432073762,34.0708824159,17.5406088353
33.9891759304,147.05794107,182.169182975,91.1552249835
15.8528849219,28.8568927697,30.1823786373,24.0992069979
31.2536538786,46.5481085131,54.4583777892,19.8404380193
0.0,0.0,0.0,0.0
12.8040446871,27.2848517916,50.9638811122,40.4965474524
30.3647351701,70.21854958,433.126502835,113.573663152
85.3176013972,175.604487659,39.7880541575,24.0160051233
13.1803046737,27.1307332431,90.1741766853,23.3521823345
10.8363947901,75.0854232355,79.8271599995,34.4784021976
19.13549447,89.2243364008,186.454302175,141.932518792
0.0,0.0,0.0,0.0
21.6686306173,73.7626073671,74.3843522401,45.2647679772
146.041454682,228.272952615,283.917520881,91.1681934234
0.0,0.0,0.0,0.0
13.5626363527,16.9401443024,36.773656029,17.4354083686
7.05254036513,28.8515946031,51.0505245671,24.6033764959
10.8882592665,15.0605372939,43.1973541641,29.2939387829
19.8556170373,25.1048360153,190.285341355,59.6219631559
20.2221733489,23.4794805208,28.0198398378,18.8160104852
49.17425839,245.253032327,503.090613104,48.2803797631
32.6623676331,32.0614064555,43.9255254112,38.3879562893
40.2482673346,38.7605160019,100.09241548,26.145370887
28.4165087046,50.9161969086,119.775419837,79.2918189764
7.08936107917,58.7457958577,40.6220915656,25.9847984148
9.83833820315,43.4173528779,23.0323741595,28.0479256284
11.1076210426,16.5988687063,64.5084284846,36.2269642598
4.39546184091,20.2072038377,47.0048887267,32.1222472807
18.9685652548,23.8913954064,30.2959041662,21.8473527638
8.33212124776,36.3085192885,92.4042589039,53.242912419
22.1643730548,72.5302243128,31.9472979434,15.9277018551
16.0420528636,90.7818756412,37.1899276109,15.8122486046
21.8339483614,24.9825105071,48.2742247765,27.3705163586
32.2543808792,99.4358626844,104.166585246,48.6540331425
6.50817445161,17.0096036087,45.2360971747,41.3777544197
