KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag,Bmag,Vmag,B-V,V-I,Imag,Pdet1,Pdet2,Pdet3
9205705.0,25.23,3.18123956279,4685.0,-0.39,10.991,12.21,11.12,1.09,1.06110097375,10.0588990263,0.8668808347,0.960724039908,0.936282090468
2554924.0,33.97,3.96775528436,4594.0,0.27,11.727,13.32,12.12,1.2,1.16062376182,10.9593762382,0.966610505892,0.936029804557,0.95671121659
4906950.0,53.73,5.23235310424,4511.0,0.14,10.651,11.92,11.0,0.92,0.933499634015,10.066500366,0.977817523182,0.973412357153,0.959077023903
10147072.0,69.08,6.16833654586,4682.0,0.1,11.463,12.37,11.45,0.92,0.933499634015,10.516500366,0.945928014704,0.942467755114,0.956394261141
12366537.0,47.23,4.74654994201,4917.0,-0.18,10.349,11.66,10.55,1.11,1.07785460525,9.47214539475,0.95615676045,0.991900057036,0.9685709538
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7273426.0,30.8,3.87474879948,4699.0,0.04,11.388,13.01,11.86,1.15,1.11304014113,10.7469598589,0.93749954819,0.951697069569,0.95426360345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6508328.0,37.99,4.25063760079,4712.0,0.29,11.686,13.27,12.25,1.02,1.00604177552,11.2439582245,0.962276345137,0.93378803558,0.950448770343
10086465.0,40.65,4.45262161763,4648.0,0.14,11.391,12.61,11.8,0.81,0.85465308202,10.945346918,0.945656064444,0.90966364507,0.955803990563
3748691.0,38.83,4.22488464572,4632.0,0.07,11.589,13.06,12.25,0.81,0.85465308202,11.395346918,0.888042499717,0.953654945333,0.934071020798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
