KIC,Kp,dnu,numax
9205705.0,10.991,3.18123956279,25.2277813483
2554924.0,11.727,3.96775528436,31.5544167955
4906950.0,10.651,5.23235310424,47.5247804402
10147072.0,11.463,6.16833654586,74.6266810034
12366537.0,10.349,4.74654994201,47.535253084
0.0,0.0,0.0,0.0
6768319.0,11.57,5.59370405028,50.7620818526
7273426.0,11.388,3.87474879948,34.3052526885
9728845.0,11.165,3.10437217983,33.7825186665
11905840.0,11.641,10.2440279204,125.510869527
6508328.0,11.686,4.25063760079,33.6344118659
10086465.0,11.391,4.45262161763,43.5232032327
3748691.0,11.589,4.22488464572,38.0420951129
9704774.0,11.583,4.12664560128,36.5655529682
11135910.0,11.102,3.65017081771,29.4249204299
6678432.0,10.724,5.66610130583,57.5413671328
5288716.0,11.546,4.23439128102,37.6684075712
7345200.0,10.223,3.81196512374,30.3768940244
9396095.0,11.114,3.89194854242,26.8171464234
4262505.0,10.36,7.99946946874,88.7078197034
9946773.0,11.49,4.24868436836,33.595307718
10809457.0,11.552,4.32682899344,34.2849587982
10590683.0,11.711,3.67697026797,28.8926888823
11085809.0,11.726,4.21474691037,33.5928756536
9945290.0,11.689,4.34328698554,38.783368
3656231.0,11.65,4.31053372025,37.9068209571
1433730.0,10.892,4.04548401779,40.8214279688
9395535.0,11.792,2.8695136729,23.2528878031
11145563.0,11.78,3.89318003757,34.7305317121
3114408.0,11.576,3.46672210534,30.7407201904
9883214.0,11.324,3.85255640902,26.6749561526
11508970.0,11.347,3.95291247254,39.3153907654
11869095.0,10.48,5.36879217071,59.581928436
2834230.0,10.432,7.03393332322,84.9656690485
9658072.0,11.612,3.45952482516,30.7973084344
0.0,0.0,0.0,0.0
3531478.0,11.637,17.1138692906,248.643653546
0.0,0.0,0.0,0.0
4039306.0,11.554,4.11643133674,32.9536521813
9353531.0,11.457,3.95125206466,35.1748075881
2448225.0,10.806,3.97069065278,39.4666912278
8759207.0,10.973,7.03279743317,78.3182243667
7429055.0,11.252,6.14053233179,55.6744085272
11026472.0,10.877,7.69863609963,86.4757828016
10847321.0,11.756,6.55928674773,66.3253908735
10598558.0,10.251,4.51889471178,45.42900548
11074543.0,11.791,6.05924272599,54.7998849254
4545474.0,10.765,3.87459204016,39.0402786489
0.0,0.0,0.0,0.0
5685000.0,11.292,3.92217466638,31.1576630284
8941202.0,11.764,4.00729294593,36.1695823699
9718024.0,10.72,4.09758341309,32.7628753544
9414068.0,11.777,1.59564205032,9.35779824336
12164879.0,10.678,4.76764658177,57.4215468229
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
9706209.0,11.063,3.97478514043,31.5595696023
9711492.0,11.124,5.03835762882,50.7369402843
9536330.0,10.251,2.67205590093,26.8936751182
9790050.0,10.651,5.29105192553,58.495791051
11360886.0,11.064,4.16466533749,46.528056418
4275625.0,11.031,3.74296924444,33.6528649783
9142574.0,11.496,2.91520391007,25.1821967474
4633907.0,10.838,3.85005728938,30.3378444366
11289822.0,10.698,6.76873282361,68.5330992426
11599342.0,10.289,10.7654656005,131.677357012
4448636.0,11.783,3.97923482791,35.6781046656
11868264.0,11.579,4.10877261252,32.8533109965
10480806.0,10.793,6.47940322499,59.1360556815
10651578.0,11.783,4.11852762224,32.4917489886
11463411.0,10.893,4.64987593327,50.9458784943
7430868.0,10.29,5.66811338502,51.7936569207
9456153.0,11.244,4.08455171873,32.6311694678
4036007.0,11.428,4.28448011584,39.2065312968
0.0,0.0,0.0,0.0
12070650.0,10.364,4.48465176896,40.0176364083
10918731.0,11.638,4.61715369588,45.8940014197
9846877.0,11.745,4.246951264,33.894059576
0.0,0.0,0.0,0.0
11953849.0,11.196,4.19507879035,38.1805919755
3425675.0,11.299,4.02416472223,32.0815459863
10743092.0,11.614,2.518966287,17.5019261494
12116393.0,11.793,6.239121618,63.2339852207
9472076.0,11.211,10.1512096468,123.992633248
9706194.0,11.601,3.27210805774,26.1176974699
0.0,0.0,0.0,0.0
9456478.0,10.785,2.53225239084,20.2644784045
9292408.0,11.727,3.48699032231,30.9242432031
6430534.0,11.305,3.55879090836,24.3052251778
4548564.0,11.814,5.99137719617,54.82695384
11135286.0,11.408,4.08582251261,40.8372425242
12005162.0,10.535,12.8798981509,158.09766245
9390293.0,11.781,3.73371059763,33.4124381679
8016118.0,11.222,7.10860771707,79.3099475665
10532751.0,10.736,8.24464716713,109.29876123
4445711.0,10.716,4.31967194272,38.4977048016
10162765.0,11.118,6.76345159914,94.8190649471
9716866.0,11.767,3.71739090784,33.6834636031
3339894.0,11.339,3.40244563401,33.3324250282
9835626.0,10.725,5.44114918117,54.7942240327
10749112.0,11.698,5.13980397368,47.1520168205
10459696.0,11.113,5.87968236318,59.2228515019
10161943.0,11.617,6.2677612393,63.3284740294
0.0,0.0,0.0,0.0
9450786.0,11.435,3.57823727072,32.3077574214
0.0,0.0,0.0,0.0
5083936.0,10.584,4.14610136113,33.4243178372
10977629.0,11.556,3.15824460922,24.881206446
11441797.0,11.165,5.81744794425,58.7806317298
6104786.0,11.55,13.8173424704,170.088923767
4843143.0,10.511,3.92590885308,30.9358341004
8962844.0,11.738,4.49354514701,40.4680767252
8890410.0,11.043,5.46084291392,54.1236882231
11551746.0,11.643,4.66139424448,46.6951577632
9786625.0,11.7,4.6313454664,47.1853395142
8693018.0,11.426,7.31738263505,95.7101183139
10991673.0,11.344,4.3386314955,39.5493671252
10159217.0,11.674,5.43413548663,54.9506562817
9835790.0,10.949,5.79805400213,63.5285318179
2283075.0,10.914,6.44006915703,65.6427476908
9843358.0,11.225,3.97191586057,35.5687661692
11298561.0,11.765,4.23751925039,38.1539461024
7431665.0,10.974,5.52168339188,55.0664606694
5517442.0,11.743,3.94999844299,39.5909621001
10202184.0,11.726,12.7618726683,156.213252014
11236536.0,11.059,4.55197487932,45.8048274627
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
8285510.0,10.169,3.08167490896,24.6608266503
7592356.0,11.51,3.99428976811,35.3647805887
7591642.0,11.772,3.78671528221,25.5402144079
9008270.0,10.372,4.0112741469,35.6634000493
11350954.0,11.048,2.43341452302,21.6234268677
8283356.0,11.63,11.143061619,136.968998007
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
9351186.0,11.11,3.85083829129,38.3169355625
10155731.0,11.03,4.20742544743,41.5203713407
2836038.0,11.334,4.19451174996,46.229060159
10555186.0,11.092,12.3818793962,164.979047997
3443483.0,11.61,10.6485044118,130.59881348
11019954.0,10.425,4.16844156631,33.1383817647
9882446.0,10.582,4.9229149703,50.0812579654
4168909.0,10.866,11.6344445777,142.301996782
5168382.0,11.433,16.6865778908,209.642721821
10132247.0,11.357,6.51500521431,65.7816334659
9409513.0,10.286,5.96691876551,77.7700893208
9847893.0,11.085,3.75889912746,29.1316265222
11953581.0,10.503,4.21686871249,37.7333734593
0.0,0.0,0.0,0.0
7811522.0,11.477,3.39238140844,26.8068686342
5196152.0,11.59,7.35818419835,81.9944692757
11509608.0,11.73,4.05396502952,36.6486139192
10206307.0,11.237,4.0810165257,36.3693928926
8611114.0,10.649,4.18440446488,37.7952708683
11138375.0,11.734,3.89891724178,38.9746898859
2444348.0,10.316,3.21951230422,29.0998863722
4760954.0,11.649,4.77562434274,47.1342204893
9396363.0,10.908,4.60599229824,45.8820656472
12367827.0,11.452,4.26262789362,38.0402297077
0.0,0.0,0.0,0.0
4475934.0,11.512,4.36812487585,43.4584801413
9728284.0,11.401,4.87892703371,44.4439069464
6850177.0,11.16,4.66176597526,41.944135378
11955410.0,10.865,4.05434649945,32.4786530056
3660976.0,11.658,3.8276555676,42.4182642697
12216750.0,11.487,8.77347137207,98.531085614
3560181.0,11.042,3.83003698471,34.39984842
9451999.0,11.103,4.15558012977,37.4922685889
10614602.0,11.099,2.40469788467,21.4374091336
9591097.0,11.522,4.10729159633,36.5909789007
9291976.0,11.614,3.84048974407,26.6295586164
10527661.0,10.681,4.4104988961,35.1567754303
7515516.0,10.435,7.71930439166,101.454911792
10148026.0,11.242,6.36608557074,58.2243631649
7190047.0,11.473,3.87085415592,34.8604623259
7017044.0,10.615,3.94048134701,31.4530894118
12470054.0,11.375,12.5208348779,153.897354469
10793872.0,11.603,14.869291201,183.507498741
10552972.0,10.72,13.8065392626,170.374359831
4243796.0,10.796,4.37810131647,38.2787874885
9004448.0,11.406,2.74810440495,31.1099679537
10991271.0,11.452,6.42666258292,83.6441685634
9145952.0,11.592,4.06690447683,32.2730999735
8955683.0,11.214,4.77435672322,52.4412012629
11027337.0,11.7,3.85550258882,31.0692862522
6854095.0,11.764,3.91529131755,34.5168275378
5167473.0,11.558,4.01874364688,32.0381300739
11669113.0,11.543,2.91435318014,26.2499698786
9283918.0,10.852,4.84594968486,48.5183575748
8957543.0,11.746,3.98812467263,35.8706373193
0.0,0.0,0.0,0.0
12003742.0,11.406,5.42689664615,60.2692767803
9652704.0,11.524,14.5237697966,178.755582591
9833073.0,11.443,3.64578404828,32.6860387721
10290457.0,11.544,3.89609131504,30.9324142582
11204531.0,10.743,4.19442377576,38.043525581
4346893.0,10.151,3.31635267912,38.815257819
10286616.0,11.672,3.96522356331,35.8314443088
9883123.0,11.044,8.2740734354,92.2794273022
4469886.0,11.795,5.45976716839,60.5340654574
11141358.0,11.511,3.6716859776,24.6471972928
11037290.0,10.386,4.40145678546,44.1938696728
9839246.0,11.121,3.92374086538,41.2621721926
0.0,0.0,0.0,0.0
11043832.0,10.871,5.63783629752,57.4799168657
11805460.0,11.003,4.28447769374,42.3006641909
11509277.0,10.997,4.58017094717,54.8840369025
9881167.0,11.513,3.87519993924,34.7270724965
11252706.0,11.687,4.47784533937,40.5468177481
10018239.0,11.177,3.90709480997,34.7080608208
8827934.0,10.799,5.34809734137,53.6757524679
3216467.0,11.208,3.77002611753,30.0684418152
6677653.0,10.835,6.00507810621,72.5065303105
5689343.0,11.286,7.96636406908,88.8862915439
12070114.0,10.862,4.2290436836,38.2803446989
6424157.0,11.54,8.81966122149,99.309760694
11307599.0,11.541,4.16352127364,37.9041822152
10747862.0,11.365,3.73470812124,33.6424170166
9726814.0,11.396,4.65865410386,51.3212868744
7949258.0,11.791,4.03259599036,36.2975810485
6853779.0,11.789,1.6682922732,11.4346530762
9818513.0,11.709,3.79876962307,30.1368345117
8086192.0,11.534,7.14037495683,71.9972541267
11703230.0,11.249,4.07437897252,36.6651062321
10467570.0,11.785,4.02133499907,31.7873538671
3642038.0,11.265,4.28117290231,42.814393903
0.0,0.0,0.0,0.0
10592249.0,11.796,4.17953385358,37.7546994027
12418515.0,11.799,4.18611446773,33.2317553302
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5283958.0,11.576,5.22588625516,52.5356631746
9406638.0,11.357,4.46150677964,39.81359587
0.0,0.0,0.0,0.0
9211401.0,10.635,3.43447339291,30.5860004743
6850417.0,10.966,4.13009936286,37.0235875197
10199187.0,11.554,2.42568634829,16.7672245142
12314927.0,10.798,2.00714401246,13.6722332538
1576469.0,10.357,7.41393255747,89.5641581951
4346319.0,11.415,4.5987862647,50.2822545337
10908322.0,11.323,3.65119365367,32.2475262468
0.0,0.0,0.0,0.0
12117790.0,10.428,9.63578695217,107.158031251
8154541.0,11.149,4.27407477563,37.8809598091
3760337.0,10.356,4.26548782035,38.0318744971
0.0,0.0,0.0,0.0
9641246.0,11.721,4.19985411821,33.5725205367
0.0,0.0,0.0,0.0
11152753.0,11.48,4.58791127673,40.7959294978
9758246.0,10.629,2.78026683423,22.3413983836
11567563.0,11.607,4.33883330008,39.5953762235
9333501.0,11.778,3.44990605454,24.2894235031
3955590.0,10.336,2.70986626075,21.2171002452
10678016.0,11.791,3.70485214481,29.5033632906
9469165.0,10.949,3.88054684499,26.5473506996
10282002.0,11.404,3.662591512,32.6528777476
11358755.0,11.464,3.96412500308,36.0967969258
2307683.0,11.55,4.29384374987,38.8650136451
6843557.0,11.052,4.84226569663,48.5916548199
10071249.0,11.082,3.99758909891,35.4100235238
10353044.0,10.933,4.10798348534,32.6064473574
0.0,0.0,0.0,0.0
11754056.0,11.752,4.15241150954,28.8872689221
