,KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag
67,10587122,37.36,4.33,4610,0.17,9.21
68,10522084,45.76,4.72,4787,-0.01,9.2460003
105,11550492,93.01,8.66,4685,-0.06,9.2810001
110,11234897,61.32,5.15,4972,0.15,9.2740002
122,11600024,35.72,4.25,4825,-0.21,9.1190004
128,11496569,66.35,6.16,4849,0.04,9.4399996
197,11615617,103.54,8.12,5065,0.26,9.0780001
332,11969378,38.1,4.33,4849,0.06,9.4689999
336,11819363,49.97,5.31,4915,-0.54,9.3929996
347,11665692,67.79,5.95,4891,0.43,9.2200003
491,11029423,74.38,7.23,4682,-0.05,9.4759998
562,9517698,42.22,4.55,4855,0.06,9.1850004
576,9518802,92,7.18,5187,-0.1,9.2069998
728,8543200,40.75,4.44,4968,-0.15,9.401
783,7944038,19.86,2.27,4512,-0.01,9.4510002
856,9575645,46.38,4.72,4948,0.06,9.4870005
875,9634962,34.65,3.98,4704,0.29,9.4989996
918,10359999,45.27,4.82,4886,0.04,9.2480001
1036,10812837,57.66,5.41,5003,-0.13,9.2299995
1189,10146348,70.03,5.94,4760,0.11,9.4289999
1523,7014894,73.9,6.4,4971,0.15,9.2410002
1573,3427850,26.76,3.44,4804,-0.3,9.2069998
1651,3833399,37.8,4.13,4781,-0.02,9.2180004
